,Day,Month,Year,Latitud,Longitud,Sierra,Hierro,PIT,LC_capture,Ancho_capture,Plastron_capture,Peso_capture,lcclass,Birth_year,Release_year,release,Stage,Sex,Age_release,Age_capture,mod.ID,dup.ID,Sex_capture,Sex_stage,Sex_retro
136,24,2,1986,,,14031,,42025871,55.4,58.1,42.8,26,50,1970.5,1975,0,Adulta,,4.5,15.5,11,FALSE,,Macho,Macho
135,18,12,1985,,,14031,,42025871,63.7,65.5,47.7,25,60,1970.5,1975,0,Adulta,Macho,4.5,14.5,11,FALSE,Macho,Macho,Macho
138,9,11,1988,,,14031,,42025871,64,67,49.4,37,60,1970.5,1975,0,Adulta,Macho,4.5,17.5,11,FALSE,Macho,Macho,Macho
139,24,2,1989,,,14031,,42025871,64.2,68.2,49.5,43,60,1970.5,1975,0,Adulta,Macho,4.5,18.5,11,FALSE,Macho,Macho,Macho
141,10,6,1993,,,14031,,42025871,67.7,74,52,28.7,60,1970.5,1975,0,Adulta,Hembra,4.5,22.5,11,FALSE,Hembra,Macho,Macho
137,10,7,1987,,,14031,,42025871,68.8,70.2,50.5,35,60,1970.5,1975,0,Adulta,Macho,4.5,16.5,11,FALSE,Macho,Macho,Macho
140,8,11,1991,,,14031,,42025871,76.3,78.7,55.5,28.7,70,1970.5,1975,0,Adulta,Macho,4.5,20.5,11,FALSE,Macho,Macho,Macho
142,23,11,1994,,,14031,,42025871,79,81.2,56.7,51,70,1970.5,1975,0,Adulta,Macho,4.5,23.5,11,FALSE,Macho,Macho,Macho
143,4,9,2000,-1.36965,-89.694,14031,31,42025871,87.1,89.2,60.9,58,80,1970.5,1975,0,Adulta,Macho,4.5,29.5,11,FALSE,Macho,Macho,Macho
144,1,6,2003,-1.36917,-89.69404,14031,31,42025871,89.7,90.5,61.3,,80,1970.5,1975,0,Adulta,Macho,4.5,32.5,11,FALSE,Macho,Macho,Macho
145,7,6,2010,-1.38109,-89.68405,14031,31,42025871,90,,,,90,1970.5,1975,0,Adulta,,4.5,39.5,11,FALSE,,Macho,Macho
